listing_id,host_id,neighbourhood,borough,property_type,room_type,checkin_date,checkout_date,nights_stayed,price_per_night,total_revenue,occupancy_rate,review_score,number_of_reviews,amenities,is_weekend_booking
L0148,Host_025,Harlem,Manhattan,Entire home/apt,Entire home,2023-12-02,2023-12-13,11,313.6,3449.6,0.63,4.6,126,"Gym, Air conditioning, Washer, Pool, Kitchen, TV",Yes
L0149,Host_059,Jamaica,Queens,Entire home/apt,Entire home,2023-02-08,2023-02-22,14,150.0,2100.0,0.8,4.6,106,"Heating, Kitchen, Washer, Gym",No
L0150,Host_024,Harlem,Manhattan,Entire home/apt,Entire home,2023-09-07,2023-09-08,1,150.0,150.0,0.45,4.3,4,"Pool, TV, Gym",No
L0151,Host_045,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-02-19,2023-02-28,9,435.2,3916.8,0.53,3.8,135,"Washer, TV, Elevator, Heating, WiFi",Yes
L0152,Host_016,Brooklyn Heights,Brooklyn,Entire home/apt,Entire home,2023-02-11,2023-02-22,11,300.8,3308.8,0.97,4.5,9,"Elevator, Pool, Heating",Yes
L0153,Host_001,Jackson Heights,Queens,Entire home/apt,Entire home,2023-08-11,2023-08-22,11,264.96,2914.56,0.86,4.3,25,"WiFi, Heating, Kitchen, Washer, TV, Gym, Elevator",Yes
L0154,Host_018,Midtown,Manhattan,Private room,Private room,2023-06-11,2023-06-12,1,85.76,85.76,0.95,4.4,102,"TV, Air conditioning, Pool",Yes
L0155,Host_025,Lower East Side,Manhattan,Private room,Private room,2023-03-13,2023-03-26,13,94.0,1222.0,0.96,4.6,129,"WiFi, Kitchen, Heating, Gym, Pool",No
L0156,Host_039,Flatbush,Brooklyn,Private room,Private room,2023-11-21,2023-11-26,5,86.0,430.0,0.86,4.2,59,"Pool, Elevator, Heating, Kitchen, TV",No
L0157,Host_040,Jackson Heights,Queens,Entire home/apt,Entire home,2023-02-07,2023-02-09,2,271.0,542.0,0.59,4.1,163,"Elevator, Washer, Air conditioning, WiFi",No
L0158,Host_029,Midtown,Manhattan,Shared room,Shared room,2023-03-09,2023-03-11,2,28.0,56.0,0.55,4.2,143,"Elevator, Kitchen, WiFi, Pool, Air conditioning, Washer, TV",No
L0159,Host_001,Long Island City,Queens,Private room,Private room,2023-02-13,2023-02-25,12,97.0,1164.0,0.92,4.9,63,"Pool, Air conditioning, Washer, Heating, Kitchen, TV, Elevator",No
L0160,Host_005,Bushwick,Brooklyn,Entire home/apt,Entire home,2023-08-04,2023-08-09,5,262.4,1312.0,0.7,3.6,65,"Gym, Heating, Pool, WiFi",Yes
L0161,Host_026,Chelsea,Manhattan,Entire home/apt,Entire home,2023-06-18,2023-06-26,8,371.2,2969.6,0.62,4.7,167,"Air conditioning, TV, Pool, Gym, Kitchen, Heating, Washer",Yes
L0162,Host_019,Upper East Side,Manhattan,Shared room,Shared room,2023-05-05,2023-05-11,6,64.0,384.0,0.65,4.7,101,"Kitchen, Heating, TV, Elevator, Pool",Yes
L0163,Host_047,Jamaica,Queens,Entire home/apt,Entire home,2023-05-30,2023-06-13,14,356.0,4984.0,0.81,4.7,105,"Air conditioning, TV, Kitchen, Pool, Elevator, Heating",No
L0164,Host_039,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-10-01,2023-10-10,9,467.2,4204.8,0.93,4.8,108,"WiFi, Washer, Gym, TV, Elevator, Pool, Heating",Yes
L0165,Host_040,Chelsea,Manhattan,Entire home/apt,Entire home,2023-12-13,2023-12-24,11,142.0,1562.0,0.66,4.6,111,"WiFi, Kitchen, Air conditioning",No
L0166,Host_036,Lower East Side,Manhattan,Private room,Private room,2023-07-20,2023-07-28,8,102.0,816.0,0.85,4.4,129,"Washer, WiFi, Heating, Gym",No
L0167,Host_006,Brooklyn Heights,Brooklyn,Private room,Private room,2023-06-09,2023-06-15,6,80.64,483.84,0.69,3.8,124,"Gym, Kitchen, Heating, Washer, Elevator",Yes
L0168,Host_052,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-06-25,2023-07-06,11,227.84,2506.24,0.51,4.7,63,"Air conditioning, Pool, Gym, TV, Heating, Washer, WiFi",Yes
L0169,Host_043,Park Slope,Brooklyn,Entire home/apt,Entire home,2023-11-11,2023-11-15,4,436.48,1745.92,0.68,4.1,2,"Heating, TV, Elevator, Washer",Yes
L0170,Host_056,Lower East Side,Manhattan,Entire home/apt,Entire home,2023-04-11,2023-04-19,8,215.0,1720.0,0.51,4.5,126,"Washer, Elevator, TV, Heating, Gym, WiFi, Kitchen",No
L0171,Host_053,Brooklyn Heights,Brooklyn,Private room,Private room,2023-12-11,2023-12-14,3,120.0,360.0,0.61,3.9,30,"Washer, Air conditioning, TV, Heating",No
L0172,Host_025,Flatbush,Brooklyn,Entire home/apt,Entire home,2023-11-22,2023-12-01,9,336.0,3024.0,0.81,4.5,45,"Air conditioning, Gym, Pool, Kitchen, Washer, Elevator, TV",No
L0173,Host_001,Astoria,Queens,Private room,Private room,2023-07-16,2023-07-25,9,79.36,714.24,0.71,4.2,176,"Elevator, Gym, Heating, Kitchen, WiFi, TV",Yes
L0174,Host_015,Chelsea,Manhattan,Entire home/apt,Entire home,2023-08-23,2023-09-02,10,267.0,2670.0,0.84,4.6,141,"Kitchen, Pool, Air conditioning, TV, Elevator, WiFi, Washer",No
L0175,Host_028,Flatbush,Brooklyn,Entire home/apt,Entire home,2023-01-17,2023-01-25,8,172.0,1376.0,0.59,4.8,23,"Kitchen, Heating, Pool, Washer, TV, Air conditioning",No
L0176,Host_011,Jamaica,Queens,Private room,Private room,2023-04-16,2023-04-29,13,90.88,1181.44,0.48,4.0,72,"Pool, Air conditioning, Gym, Washer, Elevator, TV, Heating",Yes
L0177,Host_044,Flatbush,Brooklyn,Shared room,Shared room,2023-07-30,2023-07-31,1,70.4,70.4,0.97,4.8,33,"Heating, Air conditioning, Washer, Gym",Yes
L0178,Host_037,Upper East Side,Manhattan,Entire home/apt,Entire home,2023-08-20,2023-08-22,2,328.96,657.92,0.78,4.8,24,"Pool, TV, Washer, Air conditioning, Heating, Gym",Yes
L0179,Host_050,Flatbush,Brooklyn,Entire home/apt,Entire home,2023-12-07,2023-12-19,12,167.0,2004.0,0.64,3.6,137,"Heating, Elevator, Gym, Kitchen, Pool, Air conditioning",No
L0180,Host_037,Bushwick,Brooklyn,Entire home/apt,Entire home,2023-09-06,2023-09-19,13,186.0,2418.0,0.63,4.5,13,"Kitchen, Gym, WiFi",No
L0181,Host_001,Harlem,Manhattan,Entire home/apt,Entire home,2023-03-09,2023-03-20,11,339.0,3729.0,0.61,4.8,71,"Washer, TV, WiFi",No
L0182,Host_041,Park Slope,Brooklyn,Entire home/apt,Entire home,2023-12-02,2023-12-04,2,353.28,706.56,0.82,3.5,123,"Air conditioning, Heating, TV",Yes
L0183,Host_045,Jackson Heights,Queens,Entire home/apt,Entire home,2023-08-05,2023-08-17,12,377.6,4531.2,0.52,3.6,99,"Kitchen, Pool, Air conditioning",Yes
L0184,Host_050,Bushwick,Brooklyn,Entire home/apt,Entire home,2023-09-29,2023-10-09,10,240.64,2406.4,0.45,4.5,113,"Heating, Air conditioning, Pool, TV, Elevator",Yes
L0185,Host_009,Midtown,Manhattan,Private room,Private room,2023-07-16,2023-07-22,6,153.6,921.6,0.95,4.0,36,"TV, Kitchen, Gym, Pool",Yes
L0186,Host_019,Jamaica,Queens,Private room,Private room,2023-09-23,2023-10-03,10,106.24,1062.4,0.71,4.6,76,"Heating, Gym, Pool",Yes
L0187,Host_039,Harlem,Manhattan,Entire home/apt,Entire home,2023-01-07,2023-01-13,6,199.68,1198.08,0.94,3.7,146,"Washer, Air conditioning, Elevator, Heating, WiFi, TV",Yes
L0188,Host_014,Astoria,Queens,Entire home/apt,Entire home,2023-07-23,2023-08-01,9,179.2,1612.8,0.6,4.6,107,"Elevator, Kitchen, Washer, TV, Pool, Gym",Yes
L0189,Host_033,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-06-17,2023-06-24,7,286.72,2007.04,0.75,4.6,167,"TV, Elevator, Washer",Yes
L0190,Host_060,Midtown,Manhattan,Entire home/apt,Entire home,2023-11-10,2023-11-20,10,437.76,4377.6,0.48,4.5,169,"Kitchen, WiFi, Washer, Pool",Yes
L0191,Host_023,Astoria,Queens,Entire home/apt,Entire home,2023-03-06,2023-03-18,12,252.0,3024.0,0.86,3.9,31,"Washer, Elevator, Air conditioning",No
L0192,Host_037,Astoria,Queens,Entire home/apt,Entire home,2023-09-19,2023-09-25,6,159.0,954.0,0.48,4.8,43,"Air conditioning, TV, Elevator, WiFi, Gym",No
L0193,Host_033,Astoria,Queens,Entire home/apt,Entire home,2023-01-07,2023-01-11,4,154.88,619.52,0.47,4.0,39,"WiFi, Elevator, Kitchen, Air conditioning",Yes
L0194,Host_021,Upper East Side,Manhattan,Private room,Private room,2023-07-10,2023-07-12,2,54.0,108.0,0.71,4.9,46,"Pool, WiFi, Heating, Gym",No
L0195,Host_020,Bushwick,Brooklyn,Private room,Private room,2023-08-22,2023-08-23,1,56.0,56.0,0.64,3.9,78,"Heating, Gym, Air conditioning, TV, Pool, Kitchen, Elevator",No
L0196,Host_060,Flushing,Queens,Entire home/apt,Entire home,2023-10-05,2023-10-11,6,329.0,1974.0,0.78,4.5,3,"WiFi, Elevator, Gym, Washer, Air conditioning",No
L0197,Host_016,Harlem,Manhattan,Entire home/apt,Entire home,2023-01-31,2023-02-03,3,334.0,1002.0,0.82,3.6,60,"Elevator, Washer, Heating, Gym, WiFi, TV, Air conditioning",No
L0198,Host_037,Upper East Side,Manhattan,Entire home/apt,Entire home,2023-03-08,2023-03-12,4,151.0,604.0,0.6,4.8,101,"Washer, Gym, Air conditioning, Kitchen, WiFi",No
L0199,Host_038,Harlem,Manhattan,Private room,Private room,2023-03-26,2023-04-03,8,81.92,655.36,0.69,4.1,138,"Heating, Gym, Air conditioning, Pool, Elevator",Yes
L0200,Host_044,Midtown,Manhattan,Entire home/apt,Entire home,2023-06-17,2023-06-20,3,352.0,1056.0,0.5,3.9,92,"Pool, WiFi, Washer, Air conditioning, Elevator, Kitchen",Yes
L0201,Host_036,Upper East Side,Manhattan,Private room,Private room,2023-02-22,2023-03-07,13,57.0,741.0,0.86,3.7,16,"Air conditioning, Heating, Elevator, Gym",No
L0202,Host_017,Williamsburg,Brooklyn,Private room,Private room,2023-04-12,2023-04-23,11,47.0,517.0,0.68,3.7,85,"WiFi, Gym, Pool",No
L0203,Host_047,Lower East Side,Manhattan,Entire home/apt,Entire home,2023-07-15,2023-07-26,11,412.16,4533.76,0.67,4.0,48,"TV, Gym, Kitchen, WiFi, Pool",Yes
L0204,Host_019,Jamaica,Queens,Entire home/apt,Entire home,2023-10-09,2023-10-17,8,375.0,3000.0,0.48,3.9,36,"Heating, Pool, Washer, TV, WiFi, Gym",No
L0205,Host_051,Long Island City,Queens,Entire home/apt,Entire home,2023-10-17,2023-10-26,9,368.0,3312.0,0.62,3.9,7,"Heating, WiFi, Elevator, Air conditioning, Gym",No
L0206,Host_038,Flatbush,Brooklyn,Entire home/apt,Entire home,2023-05-07,2023-05-18,11,305.92,3365.12,0.58,4.3,15,"Elevator, Washer, Pool, Kitchen",Yes
L0207,Host_052,Harlem,Manhattan,Private room,Private room,2023-12-27,2024-01-08,12,120.0,1440.0,0.63,4.4,37,"Heating, Gym, TV, Air conditioning, Kitchen, Pool, WiFi",No
L0208,Host_015,Midtown,Manhattan,Entire home/apt,Entire home,2023-01-01,2023-01-07,6,166.4,998.4,0.93,3.8,34,"Air conditioning, Washer, WiFi, Elevator, Kitchen",Yes
L0209,Host_055,Flushing,Queens,Private room,Private room,2023-12-27,2024-01-07,11,54.0,594.0,0.66,3.7,78,"Air conditioning, Pool, Washer, Heating, Elevator",No
L0210,Host_036,Long Island City,Queens,Entire home/apt,Entire home,2023-10-29,2023-11-12,14,386.56,5411.84,0.54,4.0,177,"Air conditioning, Pool, Washer, WiFi, TV",Yes
L0211,Host_039,Flatbush,Brooklyn,Entire home/apt,Entire home,2023-10-17,2023-10-19,2,282.0,564.0,0.94,3.7,20,"Washer, Pool, Kitchen, Gym",No
L0212,Host_017,Chelsea,Manhattan,Entire home/apt,Entire home,2023-02-04,2023-02-10,6,290.56,1743.36,0.58,3.7,1,"Elevator, Gym, Washer",Yes
L0213,Host_032,Park Slope,Brooklyn,Private room,Private room,2023-07-12,2023-07-14,2,89.0,178.0,0.88,4.7,148,"Air conditioning, Gym, WiFi, Elevator",No
L0214,Host_007,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-07-12,2023-07-15,3,157.0,471.0,0.83,4.3,24,"Gym, WiFi, Heating, Washer, Kitchen",No
L0215,Host_007,Jackson Heights,Queens,Entire home/apt,Entire home,2023-07-29,2023-08-10,12,369.92,4439.04,0.74,4.9,139,"TV, Pool, Kitchen, WiFi, Washer",Yes
L0216,Host_032,Flatbush,Brooklyn,Entire home/apt,Entire home,2023-01-02,2023-01-09,7,198.0,1386.0,0.5,4.7,161,"Gym, Heating, WiFi, Elevator, Kitchen, TV, Air conditioning",No
L0217,Host_008,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-09-08,2023-09-19,11,354.56,3900.16,0.59,4.5,100,"Washer, Elevator, Air conditioning, Kitchen",Yes
L0218,Host_030,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-05-18,2023-05-28,10,254.0,2540.0,0.48,4.6,171,"Kitchen, Washer, Elevator",No
L0219,Host_038,Jackson Heights,Queens,Shared room,Shared room,2023-07-18,2023-08-01,14,26.0,364.0,0.72,4.9,176,"Heating, Gym, Air conditioning, WiFi, Pool, Washer",No
L0220,Host_052,Jamaica,Queens,Private room,Private room,2023-08-18,2023-08-21,3,76.8,230.4,0.94,3.8,55,"Air conditioning, WiFi, Heating, Gym",Yes
L0221,Host_053,Jackson Heights,Queens,Entire home/apt,Entire home,2023-02-04,2023-02-06,2,249.6,499.2,0.65,4.1,84,"Pool, Gym, Elevator, WiFi, TV",Yes
L0222,Host_008,Jamaica,Queens,Private room,Private room,2023-10-18,2023-10-28,10,64.0,640.0,0.75,4.9,26,"Kitchen, TV, Elevator",No
L0223,Host_017,Long Island City,Queens,Private room,Private room,2023-11-08,2023-11-16,8,107.0,856.0,0.47,3.9,37,"Elevator, WiFi, Heating, Air conditioning, Kitchen, Gym, Washer",No
L0224,Host_002,Bushwick,Brooklyn,Private room,Private room,2023-05-24,2023-06-07,14,83.0,1162.0,0.71,4.5,26,"Air conditioning, TV, Washer, Heating",No
L0225,Host_039,Bushwick,Brooklyn,Private room,Private room,2023-04-19,2023-05-03,14,69.0,966.0,0.66,4.2,133,"WiFi, Air conditioning, Pool, Gym, TV",No
L0226,Host_034,Park Slope,Brooklyn,Private room,Private room,2023-04-13,2023-04-27,14,67.0,938.0,0.48,3.5,13,"Heating, TV, Air conditioning, Pool, Gym",No
L0227,Host_016,Williamsburg,Brooklyn,Private room,Private room,2023-08-17,2023-08-20,3,107.0,321.0,0.95,4.2,142,"Washer, Air conditioning, Elevator, Gym, WiFi",No
L0228,Host_011,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-04-26,2023-05-07,11,229.0,2519.0,0.56,4.5,132,"WiFi, Gym, Kitchen",No
L0229,Host_001,Flushing,Queens,Private room,Private room,2023-06-06,2023-06-18,12,77.0,924.0,0.95,4.5,109,"Washer, Gym, Air conditioning, Kitchen, Heating, Elevator",No
L0230,Host_026,Jamaica,Queens,Private room,Private room,2023-12-06,2023-12-20,14,45.0,630.0,0.89,4.3,153,"TV, Pool, Washer, WiFi, Heating, Elevator, Kitchen",No
L0231,Host_017,Bushwick,Brooklyn,Private room,Private room,2023-09-22,2023-10-05,13,88.32,1148.16,0.57,3.6,154,"Washer, Air conditioning, Pool, WiFi, Heating, Gym",Yes
L0232,Host_048,Brooklyn Heights,Brooklyn,Entire home/apt,Entire home,2023-10-20,2023-11-03,14,176.64,2472.96,0.55,4.6,57,"Gym, Washer, TV, Air conditioning, Kitchen, Elevator, Heating",Yes
L0233,Host_017,Upper East Side,Manhattan,Entire home/apt,Entire home,2023-02-15,2023-02-19,4,213.0,852.0,0.63,4.6,79,"Washer, Pool, Air conditioning, TV, Elevator, Heating",No
L0234,Host_041,Upper East Side,Manhattan,Entire home/apt,Entire home,2023-04-10,2023-04-19,9,156.0,1404.0,0.51,4.5,136,"Elevator, WiFi, Pool, Kitchen, Washer",No
L0235,Host_037,Chelsea,Manhattan,Entire home/apt,Entire home,2023-04-03,2023-04-16,13,354.0,4602.0,0.49,4.0,46,"WiFi, Pool, Heating, Air conditioning, Kitchen",No
L0236,Host_032,Lower East Side,Manhattan,Private room,Private room,2023-08-11,2023-08-22,11,78.08,858.88,0.67,4.1,123,"WiFi, Pool, TV, Kitchen, Air conditioning, Gym",Yes
L0237,Host_044,Flatbush,Brooklyn,Entire home/apt,Entire home,2023-12-22,2023-12-28,6,156.16,936.96,0.61,3.7,129,"TV, Air conditioning, WiFi, Elevator, Gym, Pool, Kitchen",Yes
L0238,Host_022,Jamaica,Queens,Private room,Private room,2023-09-08,2023-09-14,6,79.36,476.16,0.84,3.7,104,"Heating, Pool, Washer",Yes
L0239,Host_038,Harlem,Manhattan,Private room,Private room,2023-07-07,2023-07-19,12,84.48,1013.76,0.79,3.6,164,"Pool, WiFi, TV, Gym, Washer",Yes
L0240,Host_008,Astoria,Queens,Entire home/apt,Entire home,2023-03-05,2023-03-14,9,426.24,3836.16,0.58,4.6,53,"TV, Elevator, Washer",Yes
L0241,Host_039,Lower East Side,Manhattan,Entire home/apt,Entire home,2023-02-23,2023-03-04,9,190.0,1710.0,0.82,3.7,30,"Gym, Heating, TV",No
L0242,Host_013,Chelsea,Manhattan,Private room,Private room,2023-03-24,2023-03-25,1,124.16,124.16,0.74,4.9,177,"Washer, Heating, WiFi, Elevator, Pool, TV",Yes
L0243,Host_006,Jackson Heights,Queens,Entire home/apt,Entire home,2023-05-12,2023-05-23,11,202.24,2224.64,0.57,5.0,76,"Gym, WiFi, Pool, Kitchen, Elevator",Yes
L0244,Host_021,Bushwick,Brooklyn,Private room,Private room,2023-01-24,2023-01-25,1,59.0,59.0,0.89,4.5,44,"Washer, Gym, TV, Air conditioning, WiFi",No
L0245,Host_026,Bushwick,Brooklyn,Entire home/apt,Entire home,2023-07-17,2023-07-29,12,324.0,3888.0,0.89,4.7,167,"Kitchen, Air conditioning, Washer, Elevator",No
L0246,Host_059,Harlem,Manhattan,Entire home/apt,Entire home,2023-08-13,2023-08-16,3,469.76,1409.28,0.77,4.7,157,"Air conditioning, Gym, Heating",Yes
L0247,Host_005,Upper East Side,Manhattan,Entire home/apt,Entire home,2023-12-27,2024-01-10,14,253.0,3542.0,0.8,4.7,148,"Heating, Washer, TV, Elevator, Gym, WiFi, Kitchen",No
L0248,Host_043,Flushing,Queens,Entire home/apt,Entire home,2023-10-13,2023-10-23,10,405.76,4057.6,0.48,4.5,41,"Gym, Pool, Elevator, Kitchen, WiFi, Heating, Washer",Yes
L0249,Host_004,Chelsea,Manhattan,Shared room,Shared room,2023-11-26,2023-12-03,7,53.76,376.32,0.66,3.9,118,"Gym, Kitchen, Elevator, Heating, Washer, Air conditioning",Yes
L0250,Host_002,Upper East Side,Manhattan,Private room,Private room,2023-01-19,2023-01-28,9,96.0,864.0,0.74,4.7,155,"TV, Heating, Washer, Elevator, Gym, Air conditioning, Kitchen",No
L0251,Host_022,Harlem,Manhattan,Private room,Private room,2023-08-20,2023-08-22,2,116.48,232.96,0.5,4.5,1,"Washer, TV, Gym, Elevator, Air conditioning",Yes
L0252,Host_011,Astoria,Queens,Entire home/apt,Entire home,2023-07-29,2023-07-31,2,476.16,952.32,0.58,3.8,31,"Heating, Gym, Elevator, Kitchen, Air conditioning, WiFi",Yes
L0253,Host_054,Williamsburg,Brooklyn,Private room,Private room,2023-12-04,2023-12-14,10,102.0,1020.0,0.95,3.7,128,"Pool, WiFi, TV",No
L0254,Host_033,Flatbush,Brooklyn,Entire home/apt,Entire home,2023-03-07,2023-03-09,2,210.0,420.0,0.65,4.4,83,"Elevator, Pool, TV, Washer, Kitchen, Air conditioning, Gym",No
L0255,Host_009,Bushwick,Brooklyn,Entire home/apt,Entire home,2023-12-25,2024-01-06,12,190.0,2280.0,0.72,4.8,141,"Pool, Heating, Kitchen, Elevator, TV",No
L0256,Host_059,Long Island City,Queens,Private room,Private room,2023-10-05,2023-10-17,12,67.0,804.0,0.78,4.6,91,"Gym, Elevator, Washer, Pool, TV, Air conditioning, Kitchen",No
L0257,Host_025,Lower East Side,Manhattan,Entire home/apt,Entire home,2023-01-29,2023-02-02,4,248.32,993.28,0.59,4.7,74,"Air conditioning, WiFi, Washer, Pool, Kitchen",Yes
L0258,Host_029,Astoria,Queens,Entire home/apt,Entire home,2023-04-25,2023-05-07,12,172.0,2064.0,0.79,4.1,131,"WiFi, Elevator, Heating, Gym, Air conditioning",No
L0259,Host_017,Astoria,Queens,Entire home/apt,Entire home,2023-04-26,2023-05-07,11,223.0,2453.0,0.82,4.5,151,"Heating, Pool, Air conditioning, Gym, Kitchen, WiFi, Washer",No
L0260,Host_003,Lower East Side,Manhattan,Entire home/apt,Entire home,2023-05-16,2023-05-19,3,339.0,1017.0,0.53,4.8,2,"Gym, Air conditioning, WiFi, Kitchen, Pool",No
L0261,Host_041,Astoria,Queens,Private room,Private room,2023-10-21,2023-10-30,9,136.96,1232.64,0.64,4.7,82,"Heating, Air conditioning, TV, WiFi, Elevator, Kitchen, Pool",Yes
L0262,Host_023,Jamaica,Queens,Entire home/apt,Entire home,2023-06-19,2023-06-25,6,233.0,1398.0,0.64,3.8,159,"Gym, WiFi, Pool, Washer, Air conditioning, Heating, Elevator",No
L0263,Host_016,Jamaica,Queens,Private room,Private room,2023-02-28,2023-03-07,7,86.0,602.0,0.58,4.6,7,"Washer, Gym, Heating, WiFi, Air conditioning, Kitchen, Elevator",No
L0264,Host_011,Astoria,Queens,Shared room,Shared room,2023-12-10,2023-12-21,11,39.68,436.48,0.85,4.8,109,"Heating, Elevator, Washer",Yes
L0265,Host_046,Harlem,Manhattan,Entire home/apt,Entire home,2023-02-07,2023-02-08,1,289.0,289.0,0.54,3.9,19,"Heating, TV, Pool, Elevator, Washer, Gym, Kitchen",No
L0266,Host_008,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-10-27,2023-10-28,1,157.44,157.44,0.81,3.6,129,"TV, Pool, Gym",Yes
L0267,Host_029,Chelsea,Manhattan,Private room,Private room,2023-12-05,2023-12-06,1,95.0,95.0,0.7,4.3,35,"Pool, TV, Washer, Kitchen, Air conditioning, Gym",No
L0268,Host_010,Lower East Side,Manhattan,Private room,Private room,2023-10-21,2023-10-31,10,64.0,640.0,0.65,4.3,22,"Heating, Washer, Kitchen, Pool, TV",Yes
L0269,Host_040,Harlem,Manhattan,Entire home/apt,Entire home,2023-04-03,2023-04-14,11,249.0,2739.0,0.87,4.8,141,"Pool, Kitchen, Air conditioning, Washer, WiFi, Elevator",No
L0270,Host_032,Harlem,Manhattan,Private room,Private room,2023-12-10,2023-12-21,11,115.2,1267.2,0.57,3.9,18,"Washer, Gym, Heating, Air conditioning",Yes
L0271,Host_010,Long Island City,Queens,Private room,Private room,2023-08-08,2023-08-11,3,85.0,255.0,0.45,3.9,57,"TV, Washer, Kitchen, Gym, Air conditioning, Heating",No
L0272,Host_020,Brooklyn Heights,Brooklyn,Entire home/apt,Entire home,2023-03-31,2023-04-11,11,472.32,5195.52,0.77,4.8,36,"Heating, TV, Washer, Elevator, WiFi, Gym, Pool",Yes
L0273,Host_038,Astoria,Queens,Private room,Private room,2023-01-19,2023-01-28,9,120.0,1080.0,0.59,4.8,139,"Air conditioning, Washer, Heating, Kitchen, TV, Pool",No
L0274,Host_006,Upper East Side,Manhattan,Entire home/apt,Entire home,2023-01-06,2023-01-17,11,413.44,4547.84,0.57,4.9,158,"Pool, Air conditioning, Heating, Kitchen",Yes
L0275,Host_043,Lower East Side,Manhattan,Shared room,Shared room,2023-07-03,2023-07-04,1,55.0,55.0,0.56,4.2,17,"Washer, Heating, WiFi, Pool, Kitchen",No
L0276,Host_059,Long Island City,Queens,Entire home/apt,Entire home,2023-11-29,2023-12-05,6,352.0,2112.0,0.5,5.0,163,"TV, Air conditioning, Heating, Washer, Elevator",No
L0277,Host_054,Flatbush,Brooklyn,Private room,Private room,2023-07-12,2023-07-16,4,111.0,444.0,0.72,4.0,89,"Gym, WiFi, TV, Kitchen, Heating, Washer",No
L0278,Host_018,Midtown,Manhattan,Entire home/apt,Entire home,2023-03-22,2023-03-28,6,228.0,1368.0,0.76,4.7,170,"Elevator, Washer, Gym, WiFi",No
L0279,Host_038,Brooklyn Heights,Brooklyn,Entire home/apt,Entire home,2023-05-05,2023-05-06,1,258.56,258.56,0.52,4.4,35,"WiFi, Air conditioning, Pool, Kitchen, Gym, Washer, TV",Yes
L0280,Host_041,Flatbush,Brooklyn,Shared room,Shared room,2023-02-13,2023-02-17,4,55.0,220.0,0.68,5.0,124,"Heating, Elevator, TV, Kitchen",No
L0281,Host_033,Flushing,Queens,Private room,Private room,2023-12-18,2023-12-24,6,66.0,396.0,0.93,4.4,18,"Elevator, Pool, Kitchen, WiFi",No
L0282,Host_059,Harlem,Manhattan,Entire home/apt,Entire home,2023-03-18,2023-03-28,10,483.84,4838.4,0.5,4.2,158,"WiFi, Kitchen, Pool, Heating, Gym, Elevator, Air conditioning",Yes
L0283,Host_024,Jackson Heights,Queens,Entire home/apt,Entire home,2023-04-28,2023-05-11,13,181.76,2362.88,0.7,4.7,90,"Kitchen, Elevator, Pool, Air conditioning, Heating, Gym, WiFi",Yes
L0284,Host_027,Flatbush,Brooklyn,Private room,Private room,2023-12-30,2024-01-11,12,88.32,1059.84,0.86,4.4,31,"WiFi, Elevator, Washer, Kitchen, Air conditioning, Heating, Gym",Yes
L0285,Host_038,Harlem,Manhattan,Entire home/apt,Entire home,2023-10-02,2023-10-09,7,249.0,1743.0,0.74,4.4,175,"Heating, Elevator, TV, Gym, Pool, Kitchen",No
L0286,Host_017,Flatbush,Brooklyn,Private room,Private room,2023-12-28,2024-01-04,7,118.0,826.0,0.83,4.8,169,"Heating, Gym, Elevator",No
L0287,Host_033,Flushing,Queens,Entire home/apt,Entire home,2023-10-09,2023-10-19,10,325.0,3250.0,0.81,4.6,42,"WiFi, Kitchen, Elevator, Gym, Heating, TV",No
L0288,Host_024,Midtown,Manhattan,Entire home/apt,Entire home,2023-07-16,2023-07-23,7,204.8,1433.6,0.77,4.3,153,"Air conditioning, Gym, Heating",Yes
L0289,Host_060,Harlem,Manhattan,Private room,Private room,2023-11-03,2023-11-12,9,88.32,794.88,0.72,3.8,44,"Washer, Heating, Pool",Yes
L0290,Host_018,Harlem,Manhattan,Entire home/apt,Entire home,2023-07-22,2023-07-29,7,414.72,2903.04,0.75,4.3,18,"Pool, TV, Washer",Yes
L0291,Host_053,Jamaica,Queens,Entire home/apt,Entire home,2023-04-10,2023-04-18,8,261.0,2088.0,0.93,4.4,67,"Elevator, Kitchen, TV, WiFi",No
L0292,Host_008,Long Island City,Queens,Entire home/apt,Entire home,2023-10-22,2023-10-27,5,321.28,1606.4,0.81,4.9,145,"Heating, Washer, Elevator, Pool, Gym, WiFi",Yes
L0293,Host_025,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-06-11,2023-06-18,7,296.96,2078.72,0.95,4.3,3,"Heating, TV, WiFi, Pool, Air conditioning",Yes
L0294,Host_031,Lower East Side,Manhattan,Shared room,Shared room,2023-10-21,2023-10-26,5,39.68,198.4,0.55,4.6,49,"Heating, Pool, Washer, Kitchen, Air conditioning, Elevator",Yes
